,Unnamed: 0,"('Karte', None)","('Gemarkungs- schlüssel', None)","Name","('Fläche (ha)', None)","('Anzahl der Flurstücke', None)","('Eingemein- dungsjahr', None)","('Bild', None)","('Stadt-/Ortsteile', None)","('Zugehörigkeit', None)"
54,54,"('', '/wiki/Datei:Gemarkung_Mobschatz_in_Dresden.svg')","('3043', None)","('Mobschatz', '/wiki/Mobschatz_(Ortsteil)')","('152', None)","('557', None)","('1999', None)","('', '/wiki/Datei:Mobschatz.jpg')","('Mobschatz', '/wiki/Mobschatz_(Ortsteil)')","('Mobschatz (Ortschaft)', '/wiki/Mobschatz_(Ortschaft)')"
55,55,"('', '/wiki/Datei:Gemarkung_Mockritz_in_Dresden.svg')","('0240', None)","('Mockritz', '/wiki/Mockritz_(Dresden)')","('170', None)","('1152', None)","('1921', None)","('', '/wiki/Datei:Mockritz.jpg')","('Mockritz', '/wiki/Mockritz_(Dresden)')","('Plauen (Stadtbezirk), Prohlis (Stadtbezirk)', '/wiki/Plauen_(Stadtbezirk)')"
56,56,"('', '/wiki/Datei:Gemarkung_Nau%C3%9Flitz_in_Dresden.svg')","('0241', None)","('Naußlitz', '/wiki/Nau%C3%9Flitz_(Dresden)')","('127', None)","('1038', None)","('1903', None)","('', '/wiki/Datei:Kaiserhof_Nau%C3%9Flitz.jpg')","('Naußlitz', '/wiki/Nau%C3%9Flitz_(Dresden)')","('Cotta (Stadtbezirk)', '/wiki/Cotta_(Stadtbezirk)')"
57,57,"('', '/wiki/Datei:Gemarkung_Neustadt_in_Dresden.svg')","('0212', None)","('Neustadt', '/wiki/Neustadt_(Gemarkung)')","('1572', None)","('5125', None)","('1549[2]', '#cite_note-2')","('', '/wiki/Datei:Goldener_Reiter_Dresden_Germany.JPG')","('Albertstadt, Äußere Neustadt, Innere Neustadt, Leipziger Vorstadt, Radeberger Vorstadt', '/wiki/Albertstadt')","('Neustadt (Stadtbezirk), Klotzsche (Stadtbezirk), Loschwitz (Stadtbezirk), Pieschen (Stadtbezirk)', '/wiki/Neustadt_(Stadtbezirk)')"
58,58,"('', '/wiki/Datei:Gemarkung_Nickern_in_Dresden.svg')","('0242', None)","('Nickern', '/wiki/Nickern')","('166', None)","('1086', None)","('1930', None)","('', '/wiki/Datei:Schloss_Nickern.jpg')","('Nickern', '/wiki/Nickern')","('Prohlis (Stadtbezirk)', '/wiki/Prohlis_(Stadtbezirk)')"
59,59,"('', '/wiki/Datei:Gemarkung_Niedergohlis_in_Dresden.svg')","('3015', None)","('Niedergohlis', '/wiki/Gohlis_(Dresden)')","('185', None)","('480', None)","('1997', None)","('', '/wiki/Datei:Niedergohlis.jpg')","('Gohlis', '/wiki/Gohlis_(Dresden)')","('Cossebaude (Ortschaft)', '/wiki/Cossebaude_(Ortschaft)')"
60,60,"('', '/wiki/Datei:Gemarkung_Niederpoyritz_in_Dresden.svg')","('0243', None)","('Niederpoyritz', '/wiki/Niederpoyritz')","('72', None)","('448', None)","('1950', None)","('', '/wiki/Datei:Clp_20080418_Niederpoyritz.jpg')","('Niederpoyritz', '/wiki/Niederpoyritz')","('Loschwitz (Stadtbezirk)', '/wiki/Loschwitz_(Stadtbezirk)')"
61,61,"('', '/wiki/Datei:Gemarkung_Niedersedlitz_in_Dresden.svg')","('0244', None)","('Niedersedlitz', '/wiki/Niedersedlitz')","('299', None)","('1735', None)","('1950', None)","('', '/wiki/Datei:Rathaus_Niedersedlitz.jpg')","('Niedersedlitz', '/wiki/Niedersedlitz')","('Prohlis (Stadtbezirk), Leuben (Stadtbezirk)', '/wiki/Prohlis_(Stadtbezirk)')"
62,62,"('', '/wiki/Datei:Gemarkung_Niederwartha_in_Dresden.svg')","('3016', None)","('Niederwartha', '/wiki/Niederwartha')","('193', None)","('373', None)","('1997', None)","('', '/wiki/Datei:Niederwartha-Kraftwerk.jpg')","('Niederwartha', '/wiki/Niederwartha')","('Cossebaude (Ortschaft)', '/wiki/Cossebaude_(Ortschaft)')"
63,63,"('', '/wiki/Datei:Gemarkung_Obergohlis_in_Dresden.svg')","('3017', None)","('Obergohlis', '/wiki/Gohlis_(Dresden)')","('153', None)","('509', None)","('1997', None)","('', '/wiki/Datei:Gohliser_Windmuehle.jpg')","('Gohlis', '/wiki/Gohlis_(Dresden)')","('Cossebaude (Ortschaft)', '/wiki/Cossebaude_(Ortschaft)')"
64,64,"('', '/wiki/Datei:Gemarkung_Oberpoyritz_in_Dresden.svg')","('0245', None)","('Oberpoyritz', '/wiki/Oberpoyritz')","('147', None)","('503', None)","('1950', None)","('', '/wiki/Datei:Rysselkuppe_Oberpoyritz.JPG')","('Oberpoyritz', '/wiki/Oberpoyritz')","('Loschwitz (Stadtbezirk)', '/wiki/Loschwitz_(Stadtbezirk)')"
65,65,"('', '/wiki/Datei:Gemarkung_Oberwartha_in_Dresden.svg')","('3046', None)","('Oberwartha', '/wiki/Oberwartha')","('204', None)","('353', None)","('1997', None)","('', '/wiki/Datei:Dorflinde_Oberwartha.jpg')","('Oberwartha', '/wiki/Oberwartha')","('Oberwartha (Ortschaft)', '/wiki/Oberwartha')"
66,66,"('', '/wiki/Datei:Gemarkung_Ockerwitz_in_Dresden.svg')","('3047', None)","('Ockerwitz', '/wiki/Ockerwitz')","('147', None)","('460', None)","('1999', None)","('', '/wiki/Datei:Ockerwitz.jpg')","('Ockerwitz', '/wiki/Ockerwitz')","('Gompitz (Ortschaft)', '/wiki/Gompitz_(Ortschaft)')"
67,67,"('', '/wiki/Datei:Gemarkung_Omsewitz_in_Dresden.svg')","('0246', None)","('Omsewitz', '/wiki/Omsewitz')","('214', None)","('940', None)","('1930', None)","('', '/wiki/Datei:Altomsewitz.jpg')","('Burgstädtel, Omsewitz', '/wiki/Burgst%C3%A4dtel_(Dresden)')","('Cotta (Stadtbezirk)', '/wiki/Cotta_(Stadtbezirk)')"
68,68,"('', '/wiki/Datei:Gemarkung_Pappritz_in_Dresden.svg')","('3053', None)","('Pappritz', '/wiki/Pappritz_(Dresden)')","('149', None)","('1254', None)","('1999', None)","('', '/wiki/Datei:FFW_Pappritz.jpg')","('Pappritz', '/wiki/Pappritz_(Dresden)')","('Schönfeld-Weißig (Ortschaft)', '/wiki/Sch%C3%B6nfeld-Wei%C3%9Fig')"
69,69,"('', '/wiki/Datei:Gemarkung_Pennrich_in_Dresden.svg')","('3026', None)","('Pennrich', '/wiki/Pennrich')","('200', None)","('568', None)","('1999', None)","('', '/wiki/Datei:Pennrich.jpg')","('Pennrich', '/wiki/Pennrich')","('Gompitz (Ortschaft)', '/wiki/Gompitz_(Ortschaft)')"
70,70,"('', '/wiki/Datei:Gemarkung_Pieschen_in_Dresden.svg')","('0247', None)","('Pieschen', '/wiki/Pieschen')","('224', None)","('1777', None)","('1897', None)","('', '/wiki/Datei:Dresden_Rathaus_Pieschen.jpg')","('Pieschen', '/wiki/Pieschen')","('Pieschen (Stadtbezirk)', '/wiki/Pieschen_(Stadtbezirk)')"
71,71,"('', '/wiki/Datei:Gemarkung_Pillnitz_in_Dresden.svg')","('0248', None)","('Pillnitz', '/wiki/Pillnitz')","('477', None)","('665', None)","('1950', None)","('', '/wiki/Datei:Pillnitz-Wasseransicht.jpg')","('Pillnitz', '/wiki/Pillnitz')","('Loschwitz (Stadtbezirk)', '/wiki/Loschwitz_(Stadtbezirk)')"
72,72,"('', '/wiki/Datei:Gemarkung_Plauen_in_Dresden.svg')","('0249', None)","('Plauen', '/wiki/Plauen_(Dresden)')","('203', None)","('1316', None)","('1903', None)","('', '/wiki/Datei:Dresden-Plauen-Rathaus.jpg')","('Plauen', '/wiki/Plauen_(Dresden)')","('Plauen (Stadtbezirk), Cotta (Stadtbezirk)', '/wiki/Plauen_(Stadtbezirk)')"
73,73,"('', '/wiki/Datei:Gemarkung_Podemus_in_Dresden.svg')","('3012', None)","('Podemus', '/wiki/Podemus')","('208', None)","('167', None)","('1999', None)","('', '/wiki/Datei:Podemus_Downtown.jpg')","('Podemus', '/wiki/Podemus')","('Mobschatz (Ortschaft)', '/wiki/Mobschatz_(Ortschaft)')"
74,74,"('', '/wiki/Datei:Gemarkung_Prohlis_in_Dresden.svg')","('0250', None)","('Prohlis', '/wiki/Prohlis')","('190', None)","('522', None)","('1921', None)","('', '/wiki/Datei:Prohlis.jpg')","('Prohlis', '/wiki/Prohlis')","('Prohlis (Stadtbezirk)', '/wiki/Prohlis_(Stadtbezirk)')"
75,75,"('', '/wiki/Datei:Gemarkung_R%C3%A4cknitz_in_Dresden.svg')","('0251', None)","('Räcknitz', '/wiki/R%C3%A4cknitz')","('119', None)","('313', None)","('1902', None)","('', '/wiki/Datei:Bundesarchiv_Bild_183-38600-0007,_Dresden,_Technische_Hochschule.jpg')","('Räcknitz', '/wiki/R%C3%A4cknitz')","('Plauen (Stadtbezirk)', '/wiki/Plauen_(Stadtbezirk)')"
76,76,"('', '/wiki/Datei:Gemarkung_Reick_in_Dresden.svg')","('0252', None)","('Reick', '/wiki/Reick')","('210', None)","('694', None)","('1913', None)","('', '/wiki/Datei:Dresden-Panometer.jpg')","('Reick', '/wiki/Reick')","('Prohlis (Stadtbezirk), Blasewitz (Stadtbezirk), Leuben (Stadtbezirk)', '/wiki/Prohlis_(Stadtbezirk)')"
77,77,"('', '/wiki/Datei:Gemarkung_Reitzendorf_in_Dresden.svg')","('3073', None)","('Reitzendorf', '/wiki/Reitzendorf_(Dresden)')","('207', None)","('462', None)","('1999', None)","('', '/wiki/Datei:Kleinbauernmuseum_Reitzendorf.JPG')","('Reitzendorf', '/wiki/Reitzendorf_(Dresden)')","('Schönfeld-Weißig (Ortschaft)', '/wiki/Sch%C3%B6nfeld-Wei%C3%9Fig')"
78,78,"('', '/wiki/Datei:Gemarkung_Rennersdorf_in_Dresden.svg')","('3013', None)","('Rennersdorf', '/wiki/Rennersdorf_(Dresden)')","('95', None)","('210', None)","('1999', None)","('', '/wiki/Datei:Rennersdorf_DD.jpg')","('Rennersdorf', '/wiki/Rennersdorf_(Dresden)')","('Mobschatz (Ortschaft)', '/wiki/Mobschatz_(Ortschaft)')"
79,79,"('', '/wiki/Datei:Gemarkung_Rochwitz_in_Dresden.svg')","('0253', None)","('Rochwitz', '/wiki/Rochwitz')","('197', None)","('952', None)","('1921', None)","('', '/wiki/Datei:Altrochwitz.jpg')","('Rochwitz', '/wiki/Rochwitz')","('Loschwitz (Stadtbezirk)', '/wiki/Loschwitz_(Stadtbezirk)')"
80,80,"('', '/wiki/Datei:Gemarkung_Roitzsch_in_Dresden.svg')","('3027', None)","('Roitzsch', '/wiki/Roitzsch_(Dresden)')","('99', None)","('137', None)","('1999', None)","('', '/wiki/Datei:Roitzsch_Haus.jpg')","('Roitzsch', '/wiki/Roitzsch_(Dresden)')","('Gompitz (Ortschaft)', '/wiki/Gompitz_(Ortschaft)')"
81,81,"('', '/wiki/Datei:Gemarkung_Rossendorf_in_Dresden.svg')","('3020', None)","('Rossendorf', '/wiki/Rossendorf_(Dresden)')","('396', None)","('154', None)","('1999', None)","('', '/wiki/Datei:Fz_rossendorf.jpg')","('Rossendorf', '/wiki/Rossendorf_(Dresden)')","('Schönfeld-Weißig (Ortschaft)', '/wiki/Sch%C3%B6nfeld-Wei%C3%9Fig')"
82,82,"('', '/wiki/Datei:Gemarkung_Ro%C3%9Fthal_in_Dresden.svg')","('0254', None)","('Roßthal', '/wiki/Ro%C3%9Fthal_(Dresden)')","('157', None)","('413', None)","('1945', None)","('', '/wiki/Datei:Dresden_Schloss_Ro%C3%9Fthal.jpg')","('Neunimptsch, Roßthal', '/wiki/Neunimptsch')","('Cotta (Stadtbezirk)', '/wiki/Cotta_(Stadtbezirk)')"
83,83,"('', '/wiki/Datei:Gemarkung_Sch%C3%B6nborn_in_Dresden.svg')","('3071', None)","('Schönborn', '/wiki/Sch%C3%B6nborn_(Dresden)')","('516', None)","('529', None)","('1999', None)","('', '/wiki/Datei:Kirche_Friedhof_Sch%C3%B6nborn.jpg')","('Schönborn', '/wiki/Sch%C3%B6nborn_(Dresden)')","('Schönborn (Ortschaft)', '/wiki/Sch%C3%B6nborn_(Dresden)')"
84,84,"('', '/wiki/Datei:Gemarkung_Sch%C3%B6nfeld_in_Dresden.svg')","('3072', None)","('Schönfeld', '/wiki/Sch%C3%B6nfeld_(Dresden)')","('381', None)","('1014', None)","('1999', None)","('', '/wiki/Datei:Sch%C3%B6nfeld1.jpg')","('Schönfeld', '/wiki/Sch%C3%B6nfeld_(Dresden)')","('Schönfeld-Weißig (Ortschaft)', '/wiki/Sch%C3%B6nfeld-Wei%C3%9Fig')"
85,85,"('', '/wiki/Datei:Gemarkung_Schullwitz_in_Dresden.svg')","('3075', None)","('Schullwitz', '/wiki/Schullwitz')","('475', None)","('786', None)","('1999', None)","('', '/wiki/Datei:Schullwitz.jpg')","('Schullwitz', '/wiki/Schullwitz')","('Schönfeld-Weißig (Ortschaft)', '/wiki/Sch%C3%B6nfeld-Wei%C3%9Fig')"
86,86,"('', '/wiki/Datei:Gemarkung_Seidnitz_in_Dresden.svg')","('0255', None)","('Seidnitz', '/wiki/Seidnitz')","('279', None)","('914', None)","('1902', None)","('', '/wiki/Datei:Pferderennbahn_Seidnitz.jpg')","('Seidnitz', '/wiki/Seidnitz')","('Blasewitz (Stadtbezirk)', '/wiki/Blasewitz_(Stadtbezirk)')"
87,87,"('', '/wiki/Datei:Gemarkung_S%C3%B6brigen_in_Dresden.svg')","('0256', None)","('Söbrigen', '/wiki/S%C3%B6brigen')","('26', None)","('165', None)","('1950', None)","('', '/wiki/Datei:S%C3%B6brigen.jpg')","('Söbrigen', '/wiki/S%C3%B6brigen')","('Loschwitz (Stadtbezirk)', '/wiki/Loschwitz_(Stadtbezirk)')"
88,88,"('', '/wiki/Datei:Gemarkung_Sporbitz_in_Dresden.svg')","('0257', None)","('Sporbitz', '/wiki/Sporbitz')","('101', None)","('324', None)","('1950', None)","('', '/wiki/Datei:Sporbitz.jpg')","('Sporbitz', '/wiki/Sporbitz')","('Leuben (Stadtbezirk), Prohlis (Stadtbezirk)', '/wiki/Leuben_(Stadtbezirk)')"
89,89,"('', '/wiki/Datei:Gemarkung_Steinbach_in_Dresden.svg')","('3028', None)","('Steinbach', '/wiki/Steinbach_(Dresden)')","('156', None)","('162', None)","('1999', None)","('', '/wiki/Datei:Steinbach_(Dresden).jpg')","('Steinbach', '/wiki/Steinbach_(Dresden)')","('Gompitz (Ortschaft)', '/wiki/Gompitz_(Ortschaft)')"
90,90,"('', '/wiki/Datei:Gemarkung_Stetzsch_in_Dresden.svg')","('0258', None)","('Stetzsch', '/wiki/Stetzsch')","('148', None)","('686', None)","('1921', None)","('', '/wiki/Datei:Altstetzsch.jpg')","('Stetzsch', '/wiki/Stetzsch')","('Cotta (Stadtbezirk)', '/wiki/Cotta_(Stadtbezirk)')"
91,91,"('', '/wiki/Datei:Gemarkung_Strehlen_in_Dresden.svg')","('0259', None)","('Strehlen', '/wiki/Strehlen_(Dresden)')","('366', None)","('1971', None)","('1892', None)","('', '/wiki/Datei:Strehlen_Christuskirche_Au%C3%9Fenansicht.jpg')","('Strehlen', '/wiki/Strehlen_(Dresden)')","('Prohlis (Stadtbezirk), Altstadt (Stadtbezirk), Blasewitz (Stadtbezirk), Plauen (Stadtbezirk)', '/wiki/Prohlis_(Stadtbezirk)')"
92,92,"('', '/wiki/Datei:Gemarkung_Striesen_in_Dresden.svg')","('0260', None)","('Striesen', '/wiki/Striesen')","('321', None)","('2218', None)","('1892', None)","('', '/wiki/Datei:Pentacon-Gebaeude.jpg')","('Striesen', '/wiki/Striesen')","('Blasewitz (Stadtbezirk)', '/wiki/Blasewitz_(Stadtbezirk)')"
93,93,"('', '/wiki/Datei:Gemarkung_Tolkewitz_in_Dresden.svg')","('0261', None)","('Tolkewitz', '/wiki/Tolkewitz')","('189', None)","('522', None)","('1912', None)","('', '/wiki/Datei:Dresden_krematorium1.JPG')","('Tolkewitz', '/wiki/Tolkewitz')","('Blasewitz (Stadtbezirk), Leuben (Stadtbezirk)', '/wiki/Blasewitz_(Stadtbezirk)')"
94,94,"('', '/wiki/Datei:Gemarkung_Torna_in_Dresden.svg')","('0262', None)","('Torna', '/wiki/Torna_(Dresden)')","('54', None)","('229', None)","('1921', None)","('', '/wiki/Datei:Alttorna.jpg')","('Torna', '/wiki/Torna_(Dresden)')","('Prohlis (Stadtbezirk)', '/wiki/Prohlis_(Stadtbezirk)')"
95,95,"('', '/wiki/Datei:Gemarkung_Trachau_in_Dresden.svg')","('0263', None)","('Trachau', '/wiki/Trachau')","('399', None)","('1619', None)","('1903', None)","('', '/wiki/Datei:Dresden_Gro%C3%9Fsiedlung_Trachau_2.jpg')","('Trachau', '/wiki/Trachau')","('Pieschen (Stadtbezirk)', '/wiki/Pieschen_(Stadtbezirk)')"
96,96,"('', '/wiki/Datei:Gemarkung_Trachenberge_in_Dresden.svg')","('0264', None)","('Trachenberge', '/wiki/Trachenberge')","('119', None)","('456', None)","('1897', None)","('', '/wiki/Datei:Dresden_Weinbergskirche.jpg')","('Trachenberge', '/wiki/Trachenberge')","('Pieschen (Stadtbezirk), Klotzsche (Stadtbezirk)', '/wiki/Pieschen_(Stadtbezirk)')"
97,97,"('', '/wiki/Datei:Gemarkung_%C3%9Cbigau_in_Dresden.svg')","('0265', None)","('Übigau', '/wiki/%C3%9Cbigau')","('94', None)","('333', None)","('1903', None)","('', '/wiki/Datei:Schloss_%C3%9Cbigau_Gartenfassade.JPG')","('Übigau', '/wiki/%C3%9Cbigau')","('Pieschen (Stadtbezirk)', '/wiki/Pieschen_(Stadtbezirk)')"
98,98,"('', '/wiki/Datei:Gemarkung_Unkersdorf_in_Dresden.svg')","('3029', None)","('Unkersdorf', '/wiki/Unkersdorf')","('317', None)","('353', None)","('1999', None)","('', '/wiki/Datei:Kirche_Unkersdorf_(cropped).jpg')","('Unkersdorf', '/wiki/Unkersdorf')","('Gompitz (Ortschaft)', '/wiki/Gompitz_(Ortschaft)')"
99,99,"('', '/wiki/Datei:Gemarkung_Wachwitz_in_Dresden.svg')","('0266', None)","('Wachwitz', '/wiki/Wachwitz')","('160', None)","('695', None)","('1930', None)","('', '/wiki/Datei:Wachwitz_Elbe_01.jpg')","('Wachwitz', '/wiki/Wachwitz')","('Loschwitz (Stadtbezirk)', '/wiki/Loschwitz_(Stadtbezirk)')"
100,100,"('', '/wiki/Datei:Gemarkung_Wei%C3%9Fer_Hirsch_in_Dresden.svg')","('0267', None)","('Weißer Hirsch', '/wiki/Wei%C3%9Fer_Hirsch')","('86', None)","('377', None)","('1921', None)","('', '/wiki/Datei:Wei%C3%9Fer_Hirsch_Bautznerstr_1900.jpg')","('Weißer Hirsch', '/wiki/Wei%C3%9Fer_Hirsch')","('Loschwitz (Stadtbezirk)', '/wiki/Loschwitz_(Stadtbezirk)')"
101,101,"('', '/wiki/Datei:Gemarkung_Wei%C3%9Fig_in_Dresden.svg')","('3082', None)","('Weißig', '/wiki/Wei%C3%9Fig_(Dresden)')","('704', None)","('2973', None)","('1999', None)","('', '/wiki/Datei:Wei%C3%9Fig_Siedlung.jpg')","('Weißig', '/wiki/Wei%C3%9Fig_(Dresden)')","('Schönfeld-Weißig (Ortschaft)', '/wiki/Sch%C3%B6nfeld-Wei%C3%9Fig')"
102,102,"('', '/wiki/Datei:Gemarkung_Weixdorf_in_Dresden.svg')","('3083', None)","('Weixdorf', '/wiki/Weixdorf_(Ortsteil)')","('247', None)","('961', None)","('1999', None)","('', '/wiki/Datei:Altweixdorf.JPG')","('Weixdorf', '/wiki/Weixdorf_(Ortsteil)')","('Weixdorf (Ortschaft)', '/wiki/Weixdorf_(Ortschaft)')"
103,103,"('', '/wiki/Datei:Gemarkung_Wilschdorf_in_Dresden.svg')","('0268', None)","('Wilschdorf', '/wiki/Wilschdorf_(Dresden)')","('509', None)","('1608', None)","('1950', None)","('', '/wiki/Datei:Luftbild_AMD_Dresden_2005.jpg')","('Wilschdorf', '/wiki/Wilschdorf_(Dresden)')","('Klotzsche (Stadtbezirk)', '/wiki/Klotzsche_(Stadtbezirk)')"
104,104,"('', '/wiki/Datei:Gemarkung_W%C3%B6lfnitz_in_Dresden.svg')","('0269', None)","('Wölfnitz', '/wiki/W%C3%B6lfnitz_(Dresden)')","('15', None)","('159', None)","('1903', None)","('', '/wiki/Datei:W%C3%B6lfnitz_Stieglitzgrund.jpg')","('Wölfnitz', '/wiki/W%C3%B6lfnitz_(Dresden)')","('Cotta (Stadtbezirk)', '/wiki/Cotta_(Stadtbezirk)')"
105,105,"('', '/wiki/Datei:Gemarkung_Zaschendorf_in_Dresden.svg')","('3074', None)","('Zaschendorf', '/wiki/Zaschendorf_(Dresden)')","('146', None)","('286', None)","('1999', None)","('', '/wiki/Datei:Zaschendorf_1.jpg')","('Zaschendorf', '/wiki/Zaschendorf_(Dresden)')","('Schönfeld-Weißig (Ortschaft)', '/wiki/Sch%C3%B6nfeld-Wei%C3%9Fig')"
106,106,"('', '/wiki/Datei:Gemarkung_Z%C3%B6llmen_in_Dresden.svg')","('3030', None)","('Zöllmen', '/wiki/Z%C3%B6llmen')","('120', None)","('303', None)","('1999', None)","('', '/wiki/Datei:Brunnen_Z%C3%B6llmen.jpg')","('Zöllmen', '/wiki/Z%C3%B6llmen')","('Gompitz (Ortschaft)', '/wiki/Gompitz_(Ortschaft)')"
107,107,"('', '/wiki/Datei:Gemarkung_Zschertnitz_in_Dresden.svg')","('0270', None)","('Zschertnitz', '/wiki/Zschertnitz')","('85', None)","('297', None)","('1902', None)","('', '/wiki/Datei:Bundesarchiv_Bild_183-1985-0130-021,_Dresden,_Neubaugebiet_Zschertnitz,_Winter.jpg')","('Zschertnitz', '/wiki/Zschertnitz')","('Plauen (Stadtbezirk)', '/wiki/Plauen_(Stadtbezirk)')"
108,108,"('', '/wiki/Datei:Gemarkung_Zschieren_in_Dresden.svg')","('0271', None)","('Zschieren', '/wiki/Zschieren')","('269', None)","('1121', None)","('1950', None)","('', '/wiki/Datei:Zschieren.jpg')","('Zschieren', '/wiki/Zschieren')","('Leuben (Stadtbezirk)', '/wiki/Leuben_(Stadtbezirk)')"
